Workload,No Prefetching,1-Offset,Gaze-PHT4SS,Gaze-SM4SS,Full Gaze,Gaze-DynDCSM-4SS
gcc-17,0,0,0,0,0.4716736388105198,0.8369790017582743
bwaves-1963,0,0,0,0,0.9366677869070934,0.9998570448426226
429_51,0,0,0,0,0,0
cactusADM-1804,0,0,0,0,0.8157263287537426,0.9787232377919736
leslie3d-271,0,0,0,0,0.6759643699815265,0.9786189590107386
soplex-92,0,0,0,0,0.3798544793087767,0.7848539458347082
libquantum-714,0,0,0,0,0.8798528135586939,1.0
roms_s-523,0,0,0,0,0.32336505987104697,0.686355586504849
BC-5,0,0,0,0,0.015021106416051552,0.20269193575850647
BFS-14,0,0,0,0,0.19736449261925937,0.832150886892157
CC-5,0,0,0,0,0.11265655997394368,0.8391918263389042
PR-3,0,0,0,0,0.8592291890148567,0.9710035541263691
SSSP-14,0,0,0,0,0.00892893476756962,0.579303081061875
